numero;titulo;grupos
1405;PORTO DE AÇU;RJ
1406;PROXIMIDADES DO PORTO DE AÇU;RJ
1501;BAÍA DE GUANABARA;RJ
1503;ENSEADA DO CABO FRIO;RJ
1504;ENSEADA DE BÚZIOS;RJ
1505;DO CABO BÚZIOS AO CABO FRIO;RJ
1506;PROXIMIDADE DA BAÍA DE GUANABARA;RJ
1507;ENSEADA DE MACAÉ E PORTO DE IMBETIBA;RJ
1508;DO CABO FRIO À PONTA NEGRA;RJ
1511;BARRA DO RIO DE JANEIRO;RJ
1512;PORTO DO RIO DE JANEIRO;RJ
1513;TERMINAIS DA BAÍA DE GUANABARA;RJ
1515;BAÍA DE GUANABARA - ILHA DO MOCANGUÊ E PROXIMIDADES;RJ
1550;BACIA DE CAMPOS;RJ
1620;DO PONTAL DE SERNAMBETIBA À ILHA GRANDE;RJ
1623;PORTO DE ITAGUAÍ;RJ
1624;TERMINAL MARÍTIMO DA ILHA GUAÍBA;RJ
1625;ENSEADAS DA ILHA GRANDE;RJ
1631;BAÍA DA ILHA GRANDE - PARTE CENTRAL;RJ
1632;BAÍA DA ILHA GRANDE - PARTE CENTRO NORTE;RJ
1633;BAÍA DA ILHA GRANDE - PARTE OESTE;RJ
1634;DA PONTA DE JUATINGA À ILHA DAS COUVES;RJ, SP
1636;PORTO DE ANGRA DOS REIS E PROXIMIDADES;RJ
1637;BAÍA DA RIBEIRA;RJ
23000;DO CABO DE SÃO TOMÉ AO RIO DE JANEIRO;RJ
23100;DO RIO DE JANEIRO À SANTOS;RJ, SP
1635;DA ILHA DAS COUVES A ILHA DO MAR VIRADO;SP
1640;PROXIMIDADES DO PORTO DE SÃO SEBASTIÃO;SP
1643;CANAL DE SÃO SEBASTIÃO (PARTE NORTE);SP
1644;CANAL DE SÃO SEBASTIÃO (PARTE SUL);SP
1703;PORTO DE CANANÉIA;SP
1711;PROXIMIDADES DO PORTO DE SANTOS;SP
1712;PORTO DE SANTOS (PARTE NORTE);SP
1713;PORTO DE SANTOS (PARTE SUL);SP
23200;DE SANTOS A PARANAGUÁ;SP, TRANSICAO_PR
1803;BAÍA DE GUARATUBA;TRANSICAO_PR
1820;PROXIMIDADES DA BARRA DE PARANAGUÁ;TRANSICAO_PR
1821;BARRA DE PARANAGUÁ;TRANSICAO_PR
1822;PORTOS DE PARANAGUÁ E ANTONINA;TRANSICAO_PR
23300;DE PARANAGUÁ A IMBITUBA;TRANSICAO_PR, SC
1830;PROXIMIDADES DO PORTO DE SÃO FRANCISCO DO SUL;SC
1831;PORTO DE SÃO FRANCISCO DO SUL;SC
1841;PORTO DE ITAJAÍ;SC
1901;PORTO DE LAGUNA;SC
1902;PROXIMIDADES DA ILHA DE SANTA CATARINA;SC
1910;DA ILHA DE CORAL AO CABO DE SANTA MARTA GRANDE;SC
1921;PORTO DE IMBITUBA;SC
23400;DE IMBITUBA A PINHAL;SC, RS
2010;PROXIMIDADES DE TRAMANDAÍ;RS
2011;TRAMANDAÍ;RS
2101;PORTO DO RIO GRANDE;RS
2110;PROXIMIDADES DO PORTO DE RIO GRANDE;RS
23500;DE PINHAL AO RIO GRANDE;RS
23600;DO RIO GRANDE AO ARROIO CHUÍ;RS
21070;DO CABO FRIO AO CABO DE SANTA MARTA GRANDE;GERAIS
21080;DO CABO DE SANTA MARTA GRANDE AO ARROIO CHUÍ;GERAIS
